video1,video2,PSNR_YYUV,SSIM (precise)_YYUV
VID_4mins_544x960_30fps.yuv,v205_avc_0B/VID_4mins_544x960_30fps_25.264,42.67420,0.98347
VID_4mins_544x960_30fps.yuv,v205_avc_0B/VID_4mins_544x960_30fps_28.264,40.63573,0.97691
VID_4mins_544x960_30fps.yuv,v205_avc_0B/VID_4mins_544x960_30fps_31.264,38.54160,0.96792
VID_4mins_544x960_30fps.yuv,v205_avc_0B/VID_4mins_544x960_30fps_34.264,36.12861,0.95319
VID_4mins_544x960_30fps.yuv,v205_avc_0B/VID_4mins_544x960_30fps_37.264,33.98211,0.93526
VID_4mins_544x960_30fps.yuv,v205_avc_0B/VID_4mins_544x960_30fps_40.264,32.08286,0.91301
VID_4mins_544x960_30fps.yuv,v205_avc_0B/VID_4mins_544x960_30fps_43.264,30.24146,0.88527
VID_4mins_544x960_30fps.yuv,v205_avc_0B/VID_4mins_544x960_30fps_48.264,26.89766,0.81932
VID_4mins_544x960_30fps.yuv,v205_avc_3B/VID_4mins_544x960_30fps_25.264,42.89587,0.98442
VID_4mins_544x960_30fps.yuv,v205_avc_3B/VID_4mins_544x960_30fps_28.264,40.85805,0.97809
VID_4mins_544x960_30fps.yuv,v205_avc_3B/VID_4mins_544x960_30fps_31.264,39.12960,0.97118
VID_4mins_544x960_30fps.yuv,v205_avc_3B/VID_4mins_544x960_30fps_34.264,37.16647,0.95973
VID_4mins_544x960_30fps.yuv,v205_avc_3B/VID_4mins_544x960_30fps_37.264,35.33521,0.94520
VID_4mins_544x960_30fps.yuv,v205_avc_3B/VID_4mins_544x960_30fps_40.264,33.55303,0.92703
VID_4mins_544x960_30fps.yuv,v205_avc_3B/VID_4mins_544x960_30fps_43.264,31.66497,0.90262
VID_4mins_544x960_30fps.yuv,v205_avc_3B/VID_4mins_544x960_30fps_48.264,28.36509,0.84640
VID_4mins_544x960_30fps.yuv,x264_0B/VID_4mins_544x960_30fps_25.h264,42.60203,0.98327
VID_4mins_544x960_30fps.yuv,x264_0B/VID_4mins_544x960_30fps_28.h264,40.71755,0.97731
VID_4mins_544x960_30fps.yuv,x264_0B/VID_4mins_544x960_30fps_31.h264,38.78971,0.96879
VID_4mins_544x960_30fps.yuv,x264_0B/VID_4mins_544x960_30fps_34.h264,36.77004,0.95700
VID_4mins_544x960_30fps.yuv,x264_0B/VID_4mins_544x960_30fps_37.h264,34.90136,0.94218
VID_4mins_544x960_30fps.yuv,x264_0B/VID_4mins_544x960_30fps_40.h264,33.01273,0.92230
VID_4mins_544x960_30fps.yuv,x264_0B/VID_4mins_544x960_30fps_43.h264,31.23393,0.89839
VID_4mins_544x960_30fps.yuv,x264_0B/VID_4mins_544x960_30fps_48.h264,28.16909,0.84363
VID_4mins_544x960_30fps.yuv,x264_3B/VID_4mins_544x960_30fps_25.h264,42.89255,0.98432
VID_4mins_544x960_30fps.yuv,x264_3B/VID_4mins_544x960_30fps_28.h264,41.06643,0.97883
VID_4mins_544x960_30fps.yuv,x264_3B/VID_4mins_544x960_30fps_31.h264,39.19509,0.97101
VID_4mins_544x960_30fps.yuv,x264_3B/VID_4mins_544x960_30fps_34.h264,37.25513,0.96015
VID_4mins_544x960_30fps.yuv,x264_3B/VID_4mins_544x960_30fps_37.h264,35.40629,0.94602
VID_4mins_544x960_30fps.yuv,x264_3B/VID_4mins_544x960_30fps_40.h264,33.49606,0.92667
VID_4mins_544x960_30fps.yuv,x264_3B/VID_4mins_544x960_30fps_43.h264,31.64164,0.90254
VID_4mins_544x960_30fps.yuv,x264_3B/VID_4mins_544x960_30fps_48.h264,28.42164,0.84653
VID_4mins_544x960_30fps.yuv,x264_3B_defaultGOP/VID_4mins_544x960_30fps_25.h264,42.72231,0.98374
VID_4mins_544x960_30fps.yuv,x264_3B_defaultGOP/VID_4mins_544x960_30fps_28.h264,40.90011,0.97812
VID_4mins_544x960_30fps.yuv,x264_3B_defaultGOP/VID_4mins_544x960_30fps_31.h264,39.01715,0.97001
VID_4mins_544x960_30fps.yuv,x264_3B_defaultGOP/VID_4mins_544x960_30fps_34.h264,37.06498,0.95875
VID_4mins_544x960_30fps.yuv,x264_3B_defaultGOP/VID_4mins_544x960_30fps_37.h264,35.21050,0.94418
VID_4mins_544x960_30fps.yuv,x264_3B_defaultGOP/VID_4mins_544x960_30fps_40.h264,33.30261,0.92437
VID_4mins_544x960_30fps.yuv,x264_3B_defaultGOP/VID_4mins_544x960_30fps_43.h264,31.47419,0.89997
VID_4mins_544x960_30fps.yuv,x264_3B_defaultGOP/VID_4mins_544x960_30fps_48.h264,28.30225,0.84383
