,0
assassin_st4_360p30fps_25.264,1134.5
assassin_st4_360p30fps_28.264,736.072
assassin_st4_360p30fps_31.264,493.656
assassin_st4_360p30fps_34.264,302.23
assassin_st4_360p30fps_37.264,193.168
assassin_st4_360p30fps_40.264,124.354
assassin_st4_360p30fps_43.264,82.8669
assassin_st4_360p30fps_48.264,40.6851
bitrate.csv,0
PSNR_SSIM_assassin_st4_360p30fps_25.csv,4.32823
PSNR_SSIM_assassin_st4_360p30fps_28.csv,4.32823
PSNR_SSIM_assassin_st4_360p30fps_31.csv,4.32823
PSNR_SSIM_assassin_st4_360p30fps_34.csv,4.32823
PSNR_SSIM_assassin_st4_360p30fps_37.csv,4.32823
PSNR_SSIM_assassin_st4_360p30fps_40.csv,4.32823
PSNR_SSIM_assassin_st4_360p30fps_43.csv,4.32823
PSNR_SSIM_assassin_st4_360p30fps_48.csv,4.32823
